SAVE THE DATE | Quốc và Nhi
JAPAN BEGINNING | Quốc làm việc tại Nhật, Nhi là du học sinh nơi đất khách
CÙNG QUÊ | Cùng quê hương, cùng xa nhà, hai người tìm thấy nhau giữa Nhật Bản
FIRST MEETING | Một lần gặp gỡ bình thường đã mở ra một hành trình rất dài
OUR STORY | Từ những ngày đầu bỡ ngỡ, cả hai dần trở thành điểm tựa của nhau
IN JAPAN | Những con phố, chuyến đi và ngày thường ở Nhật lưu lại thật nhiều kỷ niệm
LOVE GROWS | Tình yêu lớn lên qua sự quan tâm, chờ đợi và những lần cùng nhau cố gắng
FOUR YEARS | Bốn năm bên nhau, đủ để hiểu, thương và chọn đi tiếp cùng nhau
PROMISE | Từ Nhật Bản, lời hứa về một mái nhà chung ngày càng rõ ràng hơn
COMING HOME | Sau hành trình yêu xa quê, cả hai trở về với gia đình và quê hương
QUẢNG TRỊ | Đám cưới ở Quảng Trị là điểm hẹn của tình yêu và lời chúc phúc
THE BIG DAY | Hôm nay, câu chuyện Quốc và Nhi được kể lại bằng những nụ cười
SAVE THE DATE | Quốc và Nhi
JAPAN BEGINNING | Một chàng trai làm việc tại Nhật và một cô du học sinh cùng quê
CÙNG QUÊ | Giữa nơi xa, hai trái tim nhận ra mình có chung một miền nhớ
FIRST MEETING | Từ gặp gỡ đến thương yêu, mọi điều bắt đầu thật nhẹ nhàng
OUR STORY | Từng khoảnh khắc nhỏ góp lại thành một câu chuyện rất riêng
IN JAPAN | Nhật Bản giữ lại những năm tháng thanh xuân của hai người
LOVE GROWS | Có những ngày bình yên, có cả những ngày cùng nhau vượt qua khó khăn
FOUR YEARS | Bốn năm là một hành trình đủ dài để tình yêu trở nên bền chặt
PROMISE | Cả hai chọn nhau không chỉ cho hiện tại mà còn cho những ngày sau
COMING HOME | Tình yêu ấy trở về quê nhà trong vòng tay của gia đình
QUẢNG TRỊ | Quảng Trị chứng kiến ngày Quốc và Nhi chính thức về chung một nhà
THE BIG DAY | Một cái kết đẹp cho hành trình bắt đầu từ Nhật Bản
SAVE THE DATE | Quốc và Nhi
JAPAN BEGINNING | Hai người trẻ xa quê gặp nhau giữa những ngày ở Nhật
CÙNG QUÊ | Cùng quê là một sợi dây gần gũi, tình yêu là điều giữ họ lại bên nhau
FOUR YEARS | Sau bốn năm, những kỷ niệm trở thành lời khẳng định cho tình yêu
QUẢNG TRỊ | Từ Nhật Bản đến Quảng Trị, hành trình ấy đi tới ngày cưới
THE BIG DAY | Quốc và Nhi, từ hôm nay cùng viết tiếp một chương mới
